Germany_1|Berlin
Germany_2|Dresden
Germany_3|Nuremberg
Germany_4|Munich
Germany_5|Cologne
Germany_6|Freiburg
Germany_7|Hamburg
Germany_8|Heidelberg
Germany_9|Aachen
Germany_10|Lubeck
czechia_1|Prague
czechia_2|Cesky Krumlov
czechia_3|Karlovy Vary
czechia_4|Kutna Hora
czechia_5|Brno
czechia_6|Pilsen
czechia_7|Olomouc
czechia_8|Telc
czechia_9|Liberec
czechia_10|Ceske Budejovice
romania_1|Sighisoara
romania_2|Brasov
romania_3|Sibiu
romania_4|Targu Mures
romania_5|Miercurea Ciuc
romania_6|Cluj-Napoca
romania_7|Timisoara
romania_8|Tulcea
romania_9|Constanta
romania_10|Bucharest
austria_1|Vienna
austria_2|Salzburg
austria_3|Graz
austria_4|Innsbruck
austria_5|Bregenz
switzerland_1|Jungfraujoch
switzerland_2|Bern
switzerland_3|Geneva
switzerland_4|Lucerne
switzerland_5|Zermatt
switzerland_6|Zurich
spain_1|Barcelona
spain_19|Tarragona
spain_20|Madrid
spain_44|San Sebastian
spain_55|Zaragoza
spain_56|Tudela de Navarra
spain_61|Pamplona
spain_96|Cordoba
spain_97|Seville
spain_104|Figueres
spain_105|Girona
spain_139|Tolosa
spain_162|Algeciras
spain_742|Teruel
spain_803|Vic
spain_804|Puigcerda
spain_805|Llanca
spain_806|Portbou
france_1|Futuroscope
france_2|Versailles
france_4|Chartres
france_6|Rennes
france_10|La Rochelle
france_15|Saintes
france_19|Paris
france_24|Bordeaux
france_28|Limoges
france_38|Toulouse
france_45|Latour-de-Carol - Enveitg
france_72|Carcassonne
france_80|Lourdes
france_83|Bayonne
france_85|Hendaye
france_93|Lyon
france_97|Vichy
france_105|Marseille
france_106|Arles
france_123|Montpellier
france_124|Sete
france_125|N̨mes
france_127|Narbonne
france_145|Perpignan
france_148|Collioure
france_151|Cerbere